     6>LINK : fatal error LNK1104: cannot open file 'dTnsConfigFile.lib' [D:\a\TohoSpec\TohoSpec\SRC\Hook\HOOK.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(330,35): error C3867: 'CPifMessage502::SetItemCONST2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(331,35): error C3867: 'CPifMessage502::SetItemCONST3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(332,35): error C3867: 'CPifMessage502::SetItemCONST4': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(333,35): error C3867: 'CPifMessage502::SetItemCONST5': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(334,35): error C3867: 'CPifMessage502::SetItemCONST6': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(335,35): error C3867: 'CPifMessage502::SetItemCONST7': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(336,35): error C3867: 'CPifMessage502::SetItemCONST8': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(340,42): error C3867: 'CPifMessage502::SetItemREFLECT1_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(341,42): error C3867: 'CPifMessage502::SetItemREFLECT2_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(342,42): error C3867: 'CPifMessage502::SetItemREFLECT3_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(346,37): error C3867: 'CPifMessage502::SetItemREFLECT1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(347,37): error C3867: 'CPifMessage502::SetItemREFLECT2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(348,37): error C3867: 'CPifMessage502::SetItemREFLECT3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(352,43): error C3867: 'CPifMessage502::SetItemTRANSMIT1_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(353,43): error C3867: 'CPifMessage502::SetItemTRANSMIT2_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(354,43): error C3867: 'CPifMessage502::SetItemTRANSMIT3_WAVE': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(358,38): error C3867: 'CPifMessage502::SetItemTRANSMIT1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(359,38): error C3867: 'CPifMessage502::SetItemTRANSMIT2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(360,38): error C3867: 'CPifMessage502::SetItemTRANSMIT3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(364,32): error C3867: 'CPifMessage502::SetItemEG1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(365,32): error C3867: 'CPifMessage502::SetItemEG2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(366,32): error C3867: 'CPifMessage502::SetItemEG3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(367,32): error C3867: 'CPifMessage502::SetItemEG4': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(368,32): error C3867: 'CPifMessage502::SetItemEG5': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(369,32): error C3867: 'CPifMessage502::SetItemEG6': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(370,32): error C3867: 'CPifMessage502::SetItemEG7': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(371,32): error C3867: 'CPifMessage502::SetItemEG8': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(375,38): error C3867: 'CPifMessage502::SetItemFRACTION1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(376,38): error C3867: 'CPifMessage502::SetItemFRACTION2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(377,38): error C3867: 'CPifMessage502::SetItemFRACTION3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(378,38): error C3867: 'CPifMessage502::SetItemFRACTION4': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(379,38): error C3867: 'CPifMessage502::SetItemFRACTION5': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(380,38): error C3867: 'CPifMessage502::SetItemFRACTION6': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(381,38): error C3867: 'CPifMessage502::SetItemFRACTION7': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
